DeviceTag: Xsens_IX,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2026-07-17 10:50:31.863,© Movella Technologies B.V. 2005-2026
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
700012,0.8618,0.1457,-0.3333,0.3536,-0.0059,0.0092,0.1015,0
700178,0.8618,0.1457,-0.3333,0.3536,-0.0026,0.0092,0.0879,0
700345,0.8618,0.1457,-0.3333,0.3536,-0.0046,0.0099,0.1046,0
700512,0.8618,0.1456,-0.3333,0.3535,-0.0105,0.0086,0.0790,0
700678,0.8618,0.1456,-0.3333,0.3535,-0.0185,-0.0025,0.0900,0
700845,0.8618,0.1456,-0.3334,0.3535,0.0015,-0.0072,0.0892,0
701012,0.8618,0.1456,-0.3334,0.3535,-0.0098,0.0042,0.0715,0
701178,0.8618,0.1456,-0.3333,0.3535,-0.0067,0.0074,0.1051,0
701345,0.8618,0.1456,-0.3333,0.3535,0.0038,0.0021,0.1019,0
701512,0.8618,0.1456,-0.3333,0.3534,0.0079,0.0113,0.0726,0
701678,0.8618,0.1456,-0.3334,0.3534,-0.0143,-0.0045,0.1071,0
701845,0.8619,0.1456,-0.3334,0.3534,-0.0062,-0.0049,0.0941,0
702012,0.8619,0.1456,-0.3334,0.3534,-0.0076,0.0040,0.1018,0
702178,0.8619,0.1456,-0.3334,0.3534,-0.0039,0.0060,0.1049,0
702345,0.8619,0.1456,-0.3333,0.3534,-0.0082,-0.0217,0.1116,0
702512,0.8619,0.1456,-0.3333,0.3534,-0.0147,-0.0016,0.0949,0
702678,0.8619,0.1456,-0.3333,0.3534,-0.0023,-0.0068,0.0887,0
702845,0.8619,0.1456,-0.3333,0.3533,-0.0067,-0.0006,0.1043,0
703012,0.8619,0.1456,-0.3334,0.3533,-0.0128,0.0082,0.0759,0
703178,0.8619,0.1456,-0.3334,0.3533,0.0048,0.0091,0.0712,0
703345,0.8619,0.1456,-0.3334,0.3533,-0.0019,0.0072,0.0978,0
703512,0.8619,0.1456,-0.3334,0.3533,-0.0198,-0.0044,0.1213,0
